Work_Unit_Code,Alternate_WUC,MDS,Minimum_SN_Inclusive,Maximum_SN,QPA,QPA_Description,Clues,Names
22EBD,,C130H,,,4,Total: 4 Per Engine: 1 Each  ,1 Per Engine,"1,2,3,4"
22FAA,,C130H,,,4,Total: 4 Per Engine: 1 Each  ,1 Per Engine,"1,2,3,4"
22GAB,,C130H,,,4,Total: 4 Per Engine: 1 Each  ,1 Per Engine,"1,2,3,4"
22RBC,,C130J,,,8,Total: 8 Per Engine: 2 Each  Both Mounted in metal enclosure bolted to the nacelle longerons connected together by electrical Harness,2 Per Engine,"1A,1B,2A,2B,3A,3B,4A,4B"
22TBB,,C130J,,,4,Total: 4 Per Engine: 1 Each,1 Per Engine,"1,2,3,4"
22VDA,,C130J,,,4,Total: 4 Per Engine: 1 Each,1 Per Engine,"1,2,3,4"
22VDC,,C130J,,,4,Total: 4 Per Engine: 1 Each,1 Per Engine,"1,2,3,4"
22XCN,,C130J,,,4,Total: 4 Per Engine: 1 Each,1 Per Engine,"1,2,3,4"
22YAA,,C130J,,,4,Total: 4 Per Engine: 1 Each,1 Per Engine,"1,2,3,4"
22YAB,,C130J,,,4,Total: 4 Per Engine: 1 Each,1 Per Engine,"1,2,3,4"
32525,,C130H,,,4,Total: 4 Per Engine: 1 Each,1 Per Engine,"1,2,3,4"
32525,,EC-130H,,,0,EC130H and MC130H on active duty will not get valves. ,,
32525,,MC-130H,,,0,EC130H and MC130H on active duty will not get valves. ,,
41311,,,,,1,,,1
41315,,,,,1,,,1
41321,,,,,1,,,1
41322,,,,,1,,,1
41325,,,,,1,,,1
422A0,"42BA0,4221P",C130H,6100002370,6100002371,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,6200001784,6400014851,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,6400014860,6400014863,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,6500000962,6500000964,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,6500000970,6500000971,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,6500000989,6500000990,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,6500000989,6500000990,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,6800010934,6800010948,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
